보행자작동신호기관리번호,지주관리번호,방향,설치일,교체일,X좌표,Y좌표,제조업체,작업구분,표출구분,종류,신규정규화ID,상태,공사관리번호,보행자작동신호기관리번호,이력ID,위치정보,공사형태,MNG_AGEN,XGEO
29-0000000796,02-0000011251,90 ,-,-,199343.71188,549230.22551,-,001,002,000,3294391    ,001,2011-0101-027,29-000796,121,1,001,-,
29-0000000226,02-0000011688,270,-,-,189744.67177,552928.02108,-,001,001,000,-,001,2000-0000-000,29-000226,123,1,-,-,
29-0000000225,02-0000011691,90 ,-,-,189715.06874,552912.31315,-,001,001,000,-,001,2000-0000-000,29-000225,124,1,-,-,
29-0000000467,02-0000091214,90 ,20201215,20201215,201158.90765,559783.17646,-,001,001,000,4426903    ,001,2020-0101-114,29-000467,648,1,003,-,
29-0000000428,02-0000156258,90 ,20201215,20201215,202809.86293,558128.87582,-,001,001,000,4462274    ,001,2020-0101-114,29-000428,1035,1,003,-,
29-0000000429,02-0000156259,90 ,20201215,20201215,202818.26336,558144.33535,-,001,001,000,4462273    ,001,2020-0101-114,29-000429,1036,1,003,-,
29-0000000653,02-0000012416,90 ,-,-,206587.00534,552505.53571,-,001,001,000,-,001,2000-0000-000,29-000653,131,1,-,-,
29-0000000426,02-0000156256,90 ,20201215,20201215,202797.96248,558146.35719,-,001,001,000,4462285    ,001,2020-0101-114,29-000426,1033,1,003,-,
29-0000001029,02-0000013388,90 ,-,-,199758.30856,553561.31667,.,002,001,000,-,001,2012-0101-057,29-001029,133,1,-,-,
29-0000000495,02-0000013388,90 ,-,-,199758.30856,553561.31667,-,001,001,000,-,001,2000-0000-000,29-000495,134,1,-,-,
29-0000000495,02-0000013388,90 ,-,-,199758.30856,553561.31667,-,002,001,000,-,001,2000-0000-000,29-000495,135,1,-,-,
29-0000000494,02-0000013389,90 ,-,-,199740.0085,553577.50582,-,002,001,000,-,001,2000-0000-000,29-000494,136,1,-,-,
29-0000001028,02-0000013389,90 ,-,-,199740.0085,553577.50582,.,002,001,000,-,001,2012-0101-057,29-001028,137,1,-,-,
29-0000000494,02-0000013389,90 ,-,-,199740.0085,553577.50582,-,001,001,000,-,001,2000-0000-000,29-000494,138,1,-,-,
29-0000000209,02-0000014385,90 ,-,-,192227.70637,550373.69624,-,001,002,001,2257122    ,001,2000-0000-000,29-000209,142,1,-,-,
29-0000000207,02-0000014388,90 ,-,-,192257.35115,550254.45537,-,002,001,000,-,001,2000-0000-000,29-000207,143,1,-,-,
29-0000000207,02-0000014388,90 ,-,-,192257.35115,550254.45537,-,001,001,000,-,001,2000-0000-000,29-000207,144,1,-,-,
29-0000000128,02-0000015183,0  ,-,-,206359.61169,550784.60242,1,002,001,000,-,001,2011-0101-010,29-000128,146,1,-,-,
29-0000000491,02-0000015335,90 ,20190614,20190614,197537.46769,556423.85015,-,001,001,000,3359731    ,001,2000-0000-000,29-000491,147,1,003,-,
29-0000000650,02-0000015418,90 ,-,-,207302.33801,549539.66351,-,001,001,001,-,001,2000-0000-000,29-000650,148,1,-,-,
29-0000000427,02-0000156257,90 ,20201215,20201215,202808.32195,558157.87614,-,001,001,000,4462284    ,001,2020-0101-114,29-000427,1034,1,003,-,
29-0000002064,02-0000203143,-,20191210,20201215,-,-,대한신호,001,001,000,3363052    ,001,2020-0101-114,29-002064,2257,-,003,-,
29-0000000675,02-0000016177,90 ,-,-,184332.94863,552632.47818,-,001,001,000,0391373    ,001,2000-0000-000,29-000675,152,1,003,-,
29-0000000320,02-0000016200,90 ,-,-,197565.71281,542725.70856,-,001,001,000,-,001,2000-0000-000,29-000320,153,1,-,-,
29-0000000319,02-0000016201,90 ,-,-,197574.87087,542741.08115,-,001,001,000,-,001,2000-0000-000,29-000319,154,1,-,-,
29-0000000691,02-0000016664,90 ,-,-,186783.06654,551903.37492,-,001,001,000,-,001,2000-0000-000,29-000691,156,1,-,-,
29-0000000690,02-0000016666,90 ,-,-,186768.94444,551909.09365,-,001,001,000,-,001,2000-0000-000,29-000690,157,1,-,-,
29-0000000693,02-0000016670,90 ,-,-,186703.15003,551754.40596,-,001,001,000,-,001,2000-0000-000,29-000693,158,1,-,-,
29-0000000697,02-0000016838,90 ,-,-,183187.03519,552976.15717,-,001,002,001,0372042    ,001,2000-0000-000,29-000697,160,1,001,-,
29-0000000346,02-0000017848,90 ,-,-,196990.20436,542436.58016,-,001,002,000,3141631    ,001,2000-0000-000,29-000346,163,1,-,-,
29-0000000347,02-0000017854,90 ,-,-,196996.9682,542428.51905,-,001,002,000,3141632    ,001,2000-0000-000,29-000347,164,1,-,-,
29-0000000142,02-0000020944,270,-,-,193789.06431,539913.16347,대한신호,001,001,000,-,001,2011-0101-014,29-000142,167,1,-,-,
29-0000000106,02-0000021733,90 ,-,-,192145.74735,543093.60585,-,001,002,000,-,001,2000-0000-000,29-000106,168,1,-,-,
29-0000000106,02-0000021733,0  ,-,-,192147.00651,543097.8649,-,004,001,000,-,001,2000-0000-000,29-000106,169,1,-,-,
29-0000000110,02-0000021740,0  ,-,-,192266.13733,543143.67898,-,002,001,000,-,001,2000-0000-000,29-000110,171,1,-,-,
29-0000000110,02-0000021740,0  ,-,-,192266.13733,543143.67898,-,001,001,000,-,001,2000-0000-000,29-000110,173,1,-,-,
29-0000000312,02-0000021747,90 ,-,-,192039.04446,543072.6657,-,001,002,001,2142764    ,001,2000-0000-000,29-000312,175,1,-,-,
29-0000000311,02-0000021748,90 ,-,-,192035.22387,543091.70493,-,001,002,001,2142763    ,001,2000-0000-000,29-000311,176,1,-,-,
29-0000000470,02-0000103497,90 ,-,-,201151.10899,559709.81791,-,001,001,000,4425991    ,001,2000-0000-000,29-000470,723,1,003,-,
29-0000000422,02-0000103538,90 ,-,-,200966.05396,560140.67745,-,001,002,000,4426571    ,001,2000-0000-000,29-000422,725,1,-,-,
29-0000001019,02-0000103781,225,-,-,197824.63077,550429.08921,대한신호,001,002,001,3267232    ,001,2012-0101-006,29-001019,726,1,001,-,
29-0000001004,02-0000104084,45 ,-,-,194238.92966,554114.62064,대한신호,001,002,001,2394172    ,001,2012-0101-006,29-001004,728,1,-,-,
29-0000000305,02-0000105159,90 ,-,-,198731.60533,550801.25954,-,001,002,001,3288111    ,001,2000-0000-000,29-000305,733,1,-,-,
29-0000000297,02-0000105207,90 ,-,-,197664.01128,551505.3754,-,002,001,000,-,001,2000-0000-000,29-000297,734,1,-,-,
29-0000000297,02-0000105207,90 ,-,-,197664.01128,551505.3754,-,001,001,000,-,001,2000-0000-000,29-000297,735,1,-,-,
29-0000001076,02-0000105207,90 ,-,-,197664.01128,551505.3754,.,002,001,000,-,001,2012-0101-046,29-001076,736,1,-,-,
29-0000000321,02-0000106925,90 ,-,-,192143.52586,543076.42631,-,001,002,000,-,001,2000-0000-000,29-000321,742,1,-,-,
29-0000000315,02-0000106940,90 ,-,-,191916.32058,543137.7845,-,001,002,000,2142472    ,001,2000-0000-000,29-000315,743,1,-,-,
29-0000000676,02-0000107482,90 ,-,-,185819.1357,544168.2553,-,001,001,000,1124282    ,001,2000-0000-000,29-000676,744,1,003,-,
29-0000000367,02-0000107640,90 ,-,-,191351.67226,540697.74688,-,001,001,000,-,001,2000-0000-000,29-000367,745,1,-,-,
29-0000000105,02-0000107946,90 ,-,-,191815.25297,543191.60274,-,001,002,000,2142282    ,001,2000-0000-000,29-000105,747,1,001,-,
29-0000000105,02-0000107946,0  ,-,-,191813.8739,543196.58202,-,004,001,000,-,001,2000-0000-000,29-000105,748,1,-,-,
29-0000000098,02-0000108032,90 ,-,-,196146.36519,543983.83016,-,001,001,000,-,001,2000-0000-000,29-000098,749,1,-,-,
29-0000000098,02-0000108032,0  ,-,-,196145.16616,543987.79022,-,004,001,000,-,001,2000-0000-000,29-000098,750,1,-,-,
29-0000000837,02-0000108467,180,-,-,202839.99275,541229.53161,대한신호,001,002,000,4068392    ,001,2011-0101-051,29-000837,751,1,001,-,
29-0000000989,02-0000108843,0  ,-,-,201448.06914,547062.18545,-,001,002,000,4230563    ,001,2010-0101-073,29-000989,752,1,001,-,
29-0000000373,02-0000108843,90 ,-,-,201464.86577,547051.98767,-,001,001,000,-,001,2000-0000-000,29-000373,753,1,-,-,
29-0000000373,02-0000108843,90 ,-,-,201464.86577,547051.98767,-,002,001,000,-,001,2000-0000-000,29-000373,754,1,-,-,
29-0000000254,02-0000111205,90 ,-,-,197818.46308,549547.64776,-,001,002,000,3265251    ,001,2000-0000-000,29-000254,755,1,-,-,
29-0000000257,02-0000111225,90 ,-,-,197335.45487,549952.61997,-,002,001,000,-,001,2000-0000-000,29-000257,756,1,-,-,
29-0000001085,02-0000111225,90 ,-,-,197335.45487,549952.61997,.,002,001,000,-,001,2012-0101-111,29-001085,757,1,-,-,
29-0000000257,02-0000111225,90 ,-,-,197335.45487,549952.61997,-,001,001,000,-,001,2000-0000-000,29-000257,758,1,-,-,
29-0000000239,02-0000111502,90 ,-,-,197250.83206,550608.87197,-,001,001,000,-,001,2000-0000-000,29-000239,760,1,-,-,
29-0000000239,02-0000111502,90 ,-,-,197250.83206,550608.87197,-,002,001,000,-,001,2000-0000-000,29-000239,761,1,-,-,
29-0000001008,02-0000111502,90 ,-,-,197250.83206,550608.87197,.,002,001,000,-,001,2012-0101-006,29-001008,762,1,-,-,
29-0000000248,02-0000112033,90 ,-,-,196312.85375,549003.75468,-,002,001,000,-,001,2000-0000-000,29-000248,763,1,-,-,
29-0000000248,02-0000112033,90 ,-,-,196312.85375,549003.75468,-,001,001,000,-,001,2000-0000-000,29-000248,764,1,-,-,
29-0000000969,02-0000112252,0  ,-,-,189217.58091,546816.39087,대한신호,001,002,000,-,001,2011-0101-039,29-000969,765,1,-,-,
29-0000000976,02-0000112311,0  ,-,-,202300.69887,552003.18337,-,002,001,000,-,001,2012-0101-026,29-000976,766,1,-,-,
29-0000000976,02-0000112311,0  ,-,-,202300.69887,552003.18337,대한신호,001,001,000,-,001,2012-0101-026,29-000976,767,1,-,-,
29-0000001073,02-0000112311,0  ,-,-,202300.69887,552003.18337,대한신호,002,001,000,-,001,2012-0101-079,29-001073,768,1,-,-,
29-0000000126,02-0000112436,0  ,-,-,206299.32765,550592.6494,1,002,001,000,-,001,2011-0101-010,29-000126,769,1,-,-,
29-0000000302,02-0000112601,90 ,-,-,201369.43392,551487.34836,-,001,001,000,-,001,2000-0000-000,29-000302,770,1,-,-,
29-0000000731,02-0000112674,90 ,-,-,191812.34875,547907.86153,-,001,001,000,-,001,2000-0000-000,29-000731,771,1,-,-,
29-0000000685,02-0000112919,90 ,-,-,188664.50046,547441.94823,-,001,001,000,1271932    ,001,2000-0000-000,29-000685,773,1,003,-,
29-0000000616,02-0000113771,90 ,-,-,204144.73823,552830.43849,-,001,002,000,4382911    ,001,2000-0000-000,29-000616,775,1,-,-,
29-0000000032,02-0000113974,90 ,-,-,201381.59876,552989.80723,-,002,001,000,-,001,2000-0000-000,29-000032,777,1,-,-,
29-0000000032,02-0000113974,0  ,-,-,201381.59876,552989.80723,-,004,001,000,-,001,2000-0000-000,29-000032,778,1,-,-,
29-0000000032,02-0000113974,90 ,-,-,201381.59876,552989.80723,-,001,001,000,-,001,2000-0000-000,29-000032,779,1,-,-,
29-0000000722,02-0000114129,90 ,-,-,188905.53242,547608.17587,-,001,001,000,-,001,2000-0000-000,29-000722,781,1,-,-,
29-0000000130,02-0000114191,0  ,-,-,206837.43599,551846.3862,1,002,001,000,-,001,2011-0101-010,29-000130,782,1,-,-,
29-0000000444,02-0000115373,90 ,-,-,201904.69822,557555.69544,-,001,001,000,-,001,2000-0000-000,29-000444,785,1,-,-,
29-0000000553,02-0000115492,90 ,-,-,206698.49691,556939.64702,-,001,001,000,-,001,2000-0000-000,29-000553,786,1,-,-,
29-0000000888,02-0000115492,90 ,-,-,206698.49691,556939.64702,-,001,002,000,-,001,2011-0101-059,29-000888,787,1,-,-,
29-0000000124,02-0000115764,270,-,-,207295.62666,553339.6515,대한신호,001,002,000,5353211    ,001,2010-0101-030,29-000124,788,1,-,-,
29-0000000484,02-0000115921,90 ,-,-,201357.0648,557434.50843,-,001,002,000,4431331    ,001,2000-0000-000,29-000484,789,1,-,-,
29-0000000504,02-0000116048,90 ,-,-,206225.83075,561451.86807,-,001,002,000,5439041    ,001,2000-0000-000,29-000504,790,1,-,-,
29-0000000533,02-0000116220,90 ,-,-,207256.32967,563523.23992,-,001,001,000,5553155    ,001,2000-0000-000,29-000533,791,1,003,-,
29-0000000531,02-0000116248,90 ,-,-,207390.93901,563715.53636,-,001,001,000,5553492    ,001,2000-0000-000,29-000531,792,1,003,-,
29-0000001791,02-0000142488,180,-,-,192868.9979,540638.10651,대한신호,001,002,000,2067373    ,001,2020-9907-001,29-001791,1984,-,001,-,
29-0000000413,02-0000116675,90 ,-,-,203042.4879,560718.84765,-,001,002,000,4467791    ,001,2000-0000-000,29-000413,794,1,-,-,
29-0000000861,02-0000116791,180,-,-,203073.47819,561299.67332,대한신호,001,001,000,-,001,2011-0101-107,29-000861,795,1,-,-,
29-0000000849,02-0000116791,180,-,-,203076.11786,561304.59294,대한신호,002,001,000,-,001,2011-0101-107,29-000849,796,1,-,-,
29-0000000055,02-0000116791,0  ,-,-,203076.11786,561304.59294,-,002,001,000,-,001,2000-0000-000,29-000055,797,1,-,-,
29-0000000433,02-0000116817,90 ,-,-,203974.27756,558393.0638,-,001,002,000,4483521    ,001,2000-0000-000,29-000433,799,1,-,-,
29-0000000434,02-0000116818,90 ,-,-,203962.85515,558376.12421,-,001,002,000,4483523    ,001,2000-0000-000,29-000434,800,1,-,-,
29-0000000403,02-0000116825,90 ,-,-,203705.86666,561112.72465,-,001,002,000,4488071    ,001,2000-0000-000,29-000403,801,1,-,-,
29-0000001096,02-0000116922,0  ,-,-,206993.77952,560936.52921,대한신호,001,001,000,-,001,2012-0101-017,29-001096,802,1,-,-,
29-0000001449,02-0000142573,180,-,-,192886.88982,540627.18464,대한신호,001,002,000,2067473    ,001,2020-9907-001,29-001449,1642,-,001,-,
29-0000000496,02-0000117327,90 ,-,-,201594.49009,558600.64063,-,002,001,000,-,001,2000-0000-000,29-000496,808,1,-,-,
29-0000002014,02-0000196245,180,-,-,195770.56735,541139.51335,-,001,002,001,3028177    ,001,2020-9907-001,29-002014,2207,-,001,-,
29-0000000585,02-0000117583,90 ,-,-,208638.5387,556476.22493,-,001,001,000,-,001,2000-0000-000,29-000585,810,1,-,-,
29-0000001018,02-0000000026,45 ,-,-,197837.08988,550445.74572,대한신호,001,002,001,3267332    ,001,2012-0101-006,29-001018,1,1,001,-,
29-0000001017,02-0000000027,180,-,-,197738.33937,550440.30166,대한신호,001,002,001,3267131    ,001,2012-0101-006,29-001017,2,1,-,-,
29-0000001016,02-0000000031,90 ,-,-,197733.48583,550467.63633,대한신호,001,002,001,3267141    ,001,2012-0101-006,29-001016,4,1,001,-,
29-0000001009,02-0000000080,90 ,-,-,197276.63168,550608.24656,.,002,001,000,-,001,2012-0101-006,29-001009,5,1,-,-,
29-0000000240,02-0000000080,90 ,-,-,197276.63168,550608.24656,-,002,001,000,-,001,2000-0000-000,29-000240,6,1,-,-,
29-0000000240,02-0000000080,90 ,-,-,197276.63168,550608.24656,-,001,001,000,-,001,2000-0000-000,29-000240,7,1,-,-,
29-0000001006,02-0000173626,90 ,20161218,20161218,193343.58186,552807.31997,대한신호,001,002,000,2372314    ,001,2016-0101-109,29-001006,1274,1,002,-,
29-0000000261,02-0000000546,90 ,-,-,198611.48111,549862.59929,-,004,001,000,-,001,2000-0000-000,29-000261,10,1,-,-,
29-0000000276,02-0000008091,90 ,20151210,20161226,194163.93882,555727.83023,대한신호,001,001,000,2387993    ,001,2016-0101-111,29-000276,79,1,003,-,
29-0000000490,02-0000000549,90 ,20190614,20190614,197531.67306,556445.34145,-,001,001,000,3359732    ,001,2000-0000-000,29-000490,13,1,003,-,
29-0000002067,02-0000203577,-,20191022,20191022,-,-,대한신호,001,002,000,4221582    ,001,2020-9907-001,29-002067,2260,-,001,-,
29-0000000180,02-0000001342,270,-,-,196512.64804,550029.73923,-,002,001,000,-,001,2011-0101-078,29-000180,15,1,-,-,
29-0000000807,02-0000001342,270,-,-,196512.64804,550029.73923,.,002,001,000,-,001,2011-0101-078,29-000807,16,1,-,-,
29-0000000821,02-0000001342,270,-,-,196512.64804,550029.73923,.,002,001,000,-,001,2011-0101-078,29-000821,17,1,-,-,
29-0000000180,02-0000001342,270,-,-,196512.64804,550029.73923,-,001,001,000,-,001,2011-0101-078,29-000180,18,1,-,-,
29-0000000179,02-0000001343,90 ,-,-,196487.77371,550032.15462,-,001,001,000,-,001,2000-0000-000,29-000179,19,1,-,-,
29-0000000822,02-0000001343,90 ,-,-,196487.77371,550032.15462,.,002,001,000,-,001,2011-0101-078,29-000822,20,1,-,-,
29-0000000808,02-0000001343,90 ,-,-,196487.77371,550032.15462,.,002,001,000,-,001,2011-0101-078,29-000808,21,1,-,-,
29-0000000179,02-0000001343,90 ,-,-,196487.77371,550032.15462,-,002,001,000,-,001,2000-0000-000,29-000179,22,1,-,-,
29-0000000231,02-0000002130,90 ,-,-,194410.03571,554397.48204,-,001,001,000,-,001,2000-0000-000,29-000231,23,1,-,-,
29-0000000231,02-0000002130,-45,-,-,194410.03571,554397.48204,-,002,001,000,-,001,2000-0000-000,29-000231,24,1,-,-,
29-0000001002,02-0000002130,90 ,-,-,194410.03571,554397.48204,대한신호,002,001,000,-,001,2012-0101-006,29-001002,25,1,-,-,
29-0000001908,02-0000002897,180,20160804,20160804,197202.04567,551557.02744,대한신호,001,002,001,3259062    ,001,2016-0101-001,29-001908,2101,-,002,-,
29-0000001907,02-0000015229,180,20161004,20161004,201402.50671,551114.76685,대한신호,001,002,000,4238473    ,001,2016-0101-001,29-001907,2100,-,001,-,
29-0000000263,02-0000002889,90 ,-,-,199590.63474,549183.66066,-,001,002,000,3294881    ,001,2000-0000-000,29-000263,32,1,001,-,
29-0000000228,02-0000002898,270,-,-,197230.1894,551577.09942,-,001,002,001,3259161    ,001,2000-0000-000,29-000228,33,1,-,-,
29-0000000264,02-0000002965,90 ,-,-,199581.77912,549165.25811,-,001,002,000,3294882    ,001,2000-0000-000,29-000264,34,1,001,-,
29-0000001917,02-0000040286,180,-,-,204306.26606,546881.8996,-,001,001,001,4290221    ,-,-,29-001917,2110,-,-,-,
29-0000000186,02-0000004727,270,-,-,195044.84224,549710.73907,-,001,001,001,3205794    ,001,2000-0000-000,29-000186,37,1,003,-,
29-0000000185,02-0000004729,90 ,-,-,195047.71799,549733.9832,-,001,001,001,3205793    ,001,2000-0000-000,29-000185,38,1,003,-,
29-0000000229,02-0000004734,90 ,-,-,196775.63604,551339.23694,-,002,001,000,-,001,2000-0000-000,29-000229,39,1,-,-,
29-0000000229,02-0000004734,90 ,-,-,196775.63604,551339.23694,-,001,001,000,-,001,2000-0000-000,29-000229,40,1,-,-,
29-0000000830,02-0000004734,90 ,-,-,196775.63604,551339.23694,.,002,001,000,-,001,2011-0101-079,29-000830,41,1,-,-,
29-0000000230,02-0000004735,270,-,-,196805.54755,551324.07184,-,001,001,000,-,001,2000-0000-000,29-000230,42,1,-,-,
29-0000000230,02-0000004735,270,-,-,196805.54755,551324.07184,-,002,001,000,-,001,2000-0000-000,29-000230,43,1,-,-,
29-0000000829,02-0000004735,270,-,-,196805.54755,551324.07184,.,002,001,000,-,001,2011-0101-079,29-000829,44,1,-,-,
29-0000000187,02-0000005231,90 ,-,-,191816.35952,551637.15021,-,001,001,000,-,001,2000-0000-000,29-000187,45,1,-,-,
29-0000002098,02-0000089664,-,20211028,20211028,-,-,대한신호,001,002,001,5501591    ,001,2021-0501-009,29-002098,2291,-,001,-,
29-0000001302,02-0000147916,180,20201115,20201115,204062.22805,561046.6303,-,001,001,000,4488765    ,001,2020-0201-135,29-001302,1495,-,003,-,
29-0000001301,02-0000147915,180,20201115,20201115,204066.35234,561068.25658,-,001,001,000,4488764    ,001,2020-0201-135,29-001301,1494,-,003,-,
29-0000001918,02-0000098958,180,-,-,204326.45634,546896.94576,-,001,001,001,4290222    ,-,-,29-001918,2111,-,-,-,
29-0000000218,02-0000005269,270,-,-,191438.15786,550218.29298,-,001,001,000,-,001,2000-0000-000,29-000218,50,1,-,-,
29-0000001924,02-0000130000,180,-,-,203144.28289,548896.91911,대한신호,001,002,000,4264923    ,001,-,29-001924,2117,-,001,-,
29-0000002121,02-0000220518,-,20220722,20220722,-,-,한길에이치씨,001,002,000,4423892    ,001,2022-0201-071,29-002121,2314,-,001,-,
29-0000002120,02-0000209808,-,20220722,20220722,-,-,한길에이치씨,001,002,000,4423893    ,001,2022-0201-071,29-002120,2313,-,001,-,
29-0000002097,02-0000219353,-,20211028,20211028,-,-,대한신호,001,002,001,5502501    ,001,2021-0501-009,29-002097,2290,-,001,-,
29-0000000188,02-0000005296,270,-,-,191833.93597,551618.18719,-,001,001,000,-,001,2000-0000-000,29-000188,55,1,-,-,
29-0000002096,02-0000219352,-,20211028,20211028,-,-,대한신호,001,002,001,5502201    ,001,2021-0501-009,29-002096,2289,-,001,-,
29-0000002095,02-0000219350,-,20211028,20211028,-,-,대한신호,001,002,001,5501291    ,001,2021-0501-009,29-002095,2288,-,001,-,
29-0000001932,02-0000027463,180,-,-,188264.07311,545668.30093,-,001,001,-,1177181    ,-,-,29-001932,2125,-,-,-,
29-0000000210,02-0000006223,270,-,-,192254.08683,550370.04624,-,001,002,001,2257123    ,001,2000-0000-000,29-000210,60,1,-,-,
29-0000000789,02-0000006417,270,-,-,194494.77722,550246.18496,ㅎ,002,001,000,-,001,2011-0101-027,29-000789,63,1,-,-,
29-0000000196,02-0000006417,270,-,-,194494.77722,550246.18496,-,002,001,000,-,001,2000-0000-000,29-000196,64,1,-,-,
29-0000000277,02-0000006646,90 ,-,-,193408.72237,555989.76193,-,002,001,000,-,001,2000-0000-000,29-000277,66,1,-,-,
29-0000000277,02-0000006646,90 ,-,-,193408.72237,555989.76193,-,002,001,000,-,001,2000-0000-000,29-000277,67,1,-,-,
29-0000000824,02-0000006646,90 ,-,-,193408.72237,555989.76193,ㅎ,002,001,000,-,001,2011-0101-079,29-000824,69,1,-,-,
29-0000002127,02-0000220944,-,20221201,20221201,-,-,(주)대한신호,001,002,001,2205571    ,001,2022-0101-076,29-002127,2320,-,001,-,
29-0000000713,02-0000007406,90 ,-,-,183806.38361,551759.99394,-,001,001,000,-,001,2000-0000-000,29-000713,72,1,-,-,
29-0000000712,02-0000007487,90 ,-,-,183778.17628,551770.96455,-,001,001,000,0380206    ,001,2000-0000-000,29-000712,73,1,003,-,
29-0000000899,02-0000007572,0  ,-,-,212046.24919,548853.45945,대한신호,001,002,000,6244721    ,001,2011-0101-103,29-000899,74,1,-,-,
29-0000000904,02-0000007648,0  ,-,-,211997.80342,548734.12989,대한신호,001,002,000,6243693    ,001,2011-0101-103,29-000904,75,1,-,-,
29-0000000905,02-0000007654,0  ,-,-,211984.01222,548741.10905,대한신호,001,002,000,6243691    ,001,2011-0101-103,29-000905,76,1,-,-,
29-0000000903,02-0000007908,0  ,-,-,211992.96894,548720.29116,대한신호,001,002,000,6243692    ,001,2011-0101-103,29-000903,77,1,-,-,
29-0000000274,02-0000008088,90 ,-,-,193973.62719,555727.72056,-,001,001,000,2387592    ,001,2000-0000-000,29-000274,78,1,003,-,
29-0000000271,02-0000008230,90 ,-,-,192326.08544,554888.94715,-,001,001,000,-,001,2000-0000-000,29-000271,81,1,-,-,
29-0000000272,02-0000008231,90 ,-,-,192318.24734,554868.17147,-,001,001,000,-,001,2000-0000-000,29-000272,82,1,-,-,
29-0000000282,02-0000008496,90 ,-,-,192573.36128,554637.34798,-,001,001,000,-,001,2000-0000-000,29-000282,83,1,-,-,
29-0000000282,02-0000008496,90 ,-,-,192573.36128,554637.34798,-,002,001,000,-,001,2000-0000-000,29-000282,84,1,-,-,
29-0000000281,02-0000008497,90 ,-,-,192568.05532,554617.35099,-,002,001,000,-,001,2000-0000-000,29-000281,85,1,-,-,
29-0000000281,02-0000008497,90 ,-,-,192568.05532,554617.35099,-,001,001,000,-,001,2000-0000-000,29-000281,86,1,-,-,
29-0000000285,02-0000008527,-45,-,-,191872.90165,553667.30585,-,002,001,000,-,001,2000-0000-000,29-000285,87,1,-,-,
29-0000000285,02-0000008527,90 ,-,-,191872.90165,553667.30585,-,001,001,000,-,001,2000-0000-000,29-000285,88,1,-,-,
29-0000000787,02-0000008527,90 ,-,-,191872.90165,553667.30585,ㄷ,002,001,000,-,001,2011-0101-053,29-000787,89,1,-,-,
29-0000000286,02-0000008534,90 ,-,-,191885.12434,553646.05958,-,001,001,000,-,001,2000-0000-000,29-000286,90,1,-,-,
29-0000000788,02-0000008534,90 ,-,-,191885.12434,553646.05958,ㄷ,002,001,000,-,001,2011-0101-053,29-000788,91,1,-,-,
29-0000000286,02-0000008534,90 ,-,-,191885.12434,553646.05958,-,002,001,000,-,001,2000-0000-000,29-000286,92,1,-,-,
29-0000000238,02-0000009435,90 ,-,-,197275.79087,550495.9631,-,002,001,000,-,001,2000-0000-000,29-000238,97,1,-,-,
29-0000001011,02-0000009435,90 ,-,-,197275.79087,550495.9631,.,002,001,000,-,001,2012-0101-006,29-001011,98,1,-,-,
29-0000000238,02-0000009435,90 ,-,-,197275.79087,550495.9631,-,001,001,000,-,001,2000-0000-000,29-000238,99,1,-,-,
29-0000000797,02-0000009457,90 ,-,-,198343.99826,550312.77733,-,001,001,000,-,001,2011-0101-027,29-000797,100,1,-,-,
29-0000000798,02-0000009459,90 ,-,-,198338.41799,550290.01064,-,001,002,001,3277301    ,001,2011-0101-027,29-000798,101,1,-,-,
29-0000000306,02-0000009634,90 ,-,-,198745.34696,550798.57143,-,001,001,000,-,001,2000-0000-000,29-000306,102,1,-,-,
29-0000000306,02-0000009634,90 ,-,-,198745.34696,550798.57143,-,002,001,000,-,001,2000-0000-000,29-000306,104,1,-,-,
29-0000000299,02-0000009968,90 ,-,-,197771.58102,551551.62788,-,002,001,000,-,001,2000-0000-000,29-000299,105,1,-,-,
29-0000001077,02-0000009968,90 ,-,-,197771.58102,551551.62788,.,002,001,000,-,001,2012-0101-046,29-001077,106,1,-,-,
29-0000000299,02-0000009968,90 ,-,-,197771.58102,551551.62788,-,001,001,000,-,001,2000-0000-000,29-000299,107,1,-,-,
29-0000000374,02-0000010162,90 ,-,-,197112.4244,556260.75642,-,001,001,000,-,001,2000-0000-000,29-000374,108,1,-,-,
29-0000000793,02-0000010450,90 ,-,-,200170.379,549351.12158,-,001,002,000,4205922    ,001,2011-0101-027,29-000793,109,1,001,-,
29-0000000794,02-0000010451,90 ,-,-,200146.2519,549361.12861,-,001,002,000,4205921    ,001,2011-0101-027,29-000794,110,1,001,-,
29-0000000242,02-0000010456,90 ,-,-,197281.35506,550369.32023,-,001,001,000,-,001,2000-0000-000,29-000242,111,1,-,-,
29-0000001013,02-0000010456,90 ,-,-,197281.35506,550369.32023,.,002,001,000,-,001,2012-0101-006,29-001013,112,1,-,-,
29-0000000242,02-0000010456,90 ,-,-,197281.35506,550369.32023,-,002,001,000,-,001,2000-0000-000,29-000242,113,1,-,-,
29-0000001012,02-0000010457,90 ,-,-,197257.73709,550371.34722,.,002,001,000,-,001,2012-0101-006,29-001012,114,1,-,-,
29-0000000241,02-0000010457,90 ,-,-,197257.73709,550371.34722,-,001,001,000,-,001,2000-0000-000,29-000241,115,1,-,-,
29-0000000909,02-0000046278,0  ,-,-,214929.32808,550856.63189,대한신호,001,001,001,7208521    ,001,2011-0101-103,29-000909,241,1,-,-,
29-0000000550,02-0000046786,90 ,-,-,205922.63917,548113.47455,-,001,002,000,5222472    ,001,2000-0000-000,29-000550,242,1,-,-,
